myanglish,burmese,frequency
account,အကောင့်,8940
actor,အက်တာ,8940
actress,အက်ထရက်စ်,8940
adapter,အဒက်တာ,8940
ai,အေအိုင်,8940
airconditioner,အဲကွန်း,8940
airport,အဲယားပို့တ်,8940
album,အယ်လ်ဘမ်,8940
allergy,အယ်လတ်ဂျီ,8940
animation,အန်နီမေးရှင်း,8940
app,အက်ပ်,8940
application,အက်ပလီကေးရှင်း,8940
assignment,အဆိုင်မန့်,8940
atm,အေအမ်တီ,8940
audio,အော်ဒီယို,8940
bacteria,ဘက်တီးရီးယား,8940
badminton,ဘက်ဒမင်တန်,8940
bag,ဘက်ဂ်,8940
bank,ဘဏ်,8940
baseball,ဘေ့စ်ဘော,8940
basketball,ဘတ်စကက်ဘော,8940
battery,ဘက်ထရီ,8940
bed,ဘက်ဒ်,8940
bicycle,ဘိုင်စကယ်,8940
bill,ဘီလ်,8940
biscuit,ဘီစကစ်,8940
bluetooth,ဘလူးတုသ်,8940
bonus,ဘောနပ်စ်,8940
boot,ဘွတ်,8940
bottle,ဘူး,8940
bottle,ဘော်တယ်,8930
box,ဘောက်စ်,8940
boxing,ဘောက်ဆင်,8940
brand,ဘရန်း,8940
browser,ဘရောက်ဇာ,8940
bug,ဘတ်ဂ်,8940
burger,ဘာဂါ,8940
bus,ဘတ်စ်ကား,8940
business,ဘစ်ဇနက်,8940
butter,ဘတ်တာ,8940
cable,ကေဘယ်,8940
cafe,ကဖေး,8940
cake,ကိတ်,8940
calorie,ကယ်လိုရီ,8940
camera,ကင်မရာ,8940
campus,ကမ်ပတ်စ်,8940
car,ကား,8940
card,ကတ်,8940
cartoon,ကာတွန်း,8940
cash,ကက်ရှ်,8940
centimeter,စင်တီမီတာ,8940
ceo,စီအီးအို,8940
certificate,ဆာတီဖီကိတ်,8940
charger,ချာဂျာ,8940
chat,ချက်,8940
cheese,ချိစ်,8940
chocolate,ချောကလက်,8940
cinema,စီနီမာ,8940
class,ကလပ်စ်,8940
clinic,ကလီနစ်,8940
coach,ကို့ချ်,8940
coat,ကုတ်,8940
cocoa,ကိုကိုး,8940
code,ကုဒ်,8940
coding,ကုဒ်ရေးခြင်း,8940
coffee,ကော်ဖီ,8940
cola,ကိုလာ,8940
college,ကောလိပ်,8940
color,ကာလာ,8940
company,ကုမ္ပဏီ,8940
computer,ကွန်ပျူတာ,8940
concert,ကွန်ဆာ့တ်,8940
cookie,ကွတ်ကီး,8940
course,ကောစ်,8940
cream,ခရင်မ်,8940
creditcard,ခရက်ဒစ်ကတ်,8940
cup,ကပ်,8940
customer,ကတ်စတမာ,8940
data,ဒေတာ,8940
database,ဒေတာဘေ့စ်,8940
democracy,ဒီမိုကရေစီ,8940
design,ဒီဇိုင်း,8940
designer,ဒီဇိုင်နာ,8940
desktop,ဒက်စ်တော့,8940
developer,ဒီဗယ်လော့ပါ,8940
diesel,ဒီဇယ်,8940
digital,ဒစ်ဂျစ်တယ်,8940
director,ဒါရိုက်တာ,8940
discount,ဒစ်စကောင့်,8940
dj,ဒီဂျေ,8940
doctor,ဒေါက်တာ,8940
document,ဒေါ့ကူမန့်,8940
download,ဒေါင်းလုဒ်,8940
drum,ဒရမ်,8940
economy,အီကိုနိုမီ,8940
electric,အီလက်ထရစ်,8940
electronic,အီလက်ထရွန်နစ်,8940
elevator,အယ်လီဗေတာ,8940
email,အီးမေးလ်,8940
embassy,အမ်ဘက်စီ,8940
engine,အင်ဂျင်,8940
engineering,အင်ဂျင်နီယာရင်း,8940
exam,အိပ်ဇမ်,8940
factory,ဖက်ထရီ,8940
fan,ဖန်,8940
fashion,ဖက်ရှင်,8940
file,ဖိုင်,8940
film,ဖလင်,8940
folder,ဖိုလ်ဒါ,8940
football,ဘောလုံး,8940
game,ဂိမ်း,8940
gel,ဂျယ်လ်,8940
general,ဂျင်နရယ်,8940
generator,ဂျင်နရေတာ,8940
glass,ဂလတ်စ်,8940
global,ဂလိုဘယ်,8940
golf,ဂေါက်,8940
gram,ဂရမ်,8940
guitar,ဂစ်တာ,8940
gym,ဂျင်မ်,8940
hamburger,ဟမ်ဘာဂါ,8940
hardware,ဟာ့ဒ်ဝဲ,8940
homework,ဟုမ်းဝါ့ခ်,8940
hospital,ဟော့စပစ်တယ်,8940
hotel,ဟိုတယ်,8940
icecream,အိုင်စကရင်,8940
immigration,အင်မီဂရေးရှင်း,8940
install,အင်စတော,8940
international,အင်တာနေရှင်နယ်,8940
internet,အင်တာနက်,8940
interview,အင်တာဗျူး,8940
jacket,ဂျာကင်,8940
jam,ဂျမ်,8940
jeans,ဂျင်း,8940
jelly,ဂျယ်လီ,8940
job,ဂျော့ဘ်,8940
juice,ဂျူးစ်,8940
keyboard,ကီးဘုတ်,8940
kilo,ကီလို,8940
kilogram,ကီလိုဂရမ်,8940
kilometer,ကီလိုမီတာ,8940
laptop,လက်ပ်တော့,8940
leader,လီဒါ,8940
lift,လစ်ဖ်,8940
light,လိုက်,8940
link,လင့်ခ်,8940
lipstick,လစ်ပ်စတစ်,8940
liter,လီတာ,8940
login,လော့ဂ်အင်,8940
logout,လော့ဂ်အောက်,8940
lotion,လိုးရှင်း,8940
machine,မရှင်း,8940
makeup,မိတ်ကပ်,8940
mall,မောလ်,8940
manager,မန်နေဂျာ,8940
market,မားကက်,8940
mask,မတ်စ်,8940
meeting,မီတင်,8940
memory,မန်မိုရီ,8940
message,မက်ဆေ့ချ်,8940
meter,မီတာ,8940
microphone,မိုက်ခရိုဖုန်း,8940
military,မီလီထရီ,8940
model,မော်ဒယ်,8940
monitor,မော်နီတာ,8940
motel,မိုတယ်,8940
motor,မော်တာ,8940
motorcycle,မော်တော်ဆိုင်ကယ်,8940
mouse,မောက်စ်,8940
movie,မူဗီ,8940
music,မြူးဇစ်,8940
network,နက်ဝေါ့ခ်,8940
nurse,နာ့စ်,8940
office,အော်ဖစ်,8940
offline,အော့ဖ်လိုင်း,8940
online,အွန်လိုင်း,8940
parliament,ပါလီမန်,8940
part-time,ပါ့တ်တိုင်းမ်,8940
parttime,ပါ့တ်တိုင်းမ်,8940
passport,ပတ်စ်ပို့,8940
password,ပတ်စ်ဝေါ့ဒ်,8940
percent,ပါဆင့်,8940
perfume,ပါဖျူးမ်,8940
petrol,ပက်ထရိုလ်,8940
phone,ဖုန်း,8940
photo,ဖိုတို,8940
piano,ပီယာနို,8940
pizza,ပီဇာ,8940
plastic,ပလတ်စတစ်,8940
plate,ပလိတ်,8940
player,ပလေယာ,8940
plug,ပလပ်,8940
police,ပုလိပ်,8940
presentation,ပရက်ဇင်တေးရှင်း,8940
president,ပရက်စီဒင့်,8940
