myanglish,burmese,frequency
adapter,အဒက်တာ,9000
ai,အေအိုင်,9000
api,အေပီအိုင်,9000
app,အက်ပ်,9000
application,အက်ပလီကေးရှင်း,9000
audio,အော်ဒီယို,9000
bank,ဘဏ်,9000
battery,ဘက်ထရီ,9000
blog,ဘလော့ဂ်,9000
bluetooth,ဘလူးတုသ်,9000
browser,ဘရောက်ဇာ,9000
cable,ကေဘယ်,9000
cafe,ကဖီး,9000
calcium,ကယ်လဆီယမ်,9000
camera,ကင်မရာ,9000
car,ကား,9000
card,ကတ်,9000
cartoon,ကာတွန်း,9000
cd,စီဒီ,9000
censor,ဆင်ဆာ,9000
centimeter,စင်တီမီတာ,9000
champion,ချန်ပီယံ,9000
check,ချက်,9000
cherry,ချယ်ရီ,9000
chlorine,ကလိုရင်း,9000
chocolate,ချောကလက်,9000
christian,ခရစ်ယာန်,9000
christmas,ခရစ္စမတ်,9000
circus,ဆပ်ကပ်,9000
cloud,ကလောက်ဒ်,9000
club,ကလပ်,9000
cm,စင်တီမီတာ,9000
coat,ကုတ်,9000
cocoa,ကိုကိုး,9000
code,ကုဒ်,9000
coffee,ကော်ဖီ,9000
collar,ကော်လာ,9000
college,ကောလိပ်,9000
colony,ကိုလိုနီ,9000
commission,ကော်မရှင်,9000
committee,ကော်မတီ,9000
communist,ကွန်မြူနစ်,9000
company,ကုမ္ပဏီ,9000
computer,ကွန်ပျူတာ,9000
concrete,ကွန်ကရစ်,9000
confederation,ကွန်ဖက်ဒရေးရှင်း,9000
conference,ကွန်ဖရင့်,9000
congress,ကွန်ဂရက်,9000
contract,ကန်ထရိုက်,9000
copy,ကော်ပီ,9000
coronavirus,ကိုရိုနာဗိုင်းရပ်စ်,9000
cotton,ကော်တွန်,9000
council,ကောင်စီ,9000
counter,ကောင်တာ,9000
covid,ကိုဗစ်,9000
covid19,ကိုဗစ်-၁၉,9000
crane,ကရိန်း,9000
cricket,ကရစ်ကက်,9000
crony,ခရိုနီ,9000
cushion,ကူရှင်,9000
cylinder,ဆလင်ဒါ,9000
data,ဒေတာ,9000
database,ဒေတာဘေ့စ်,9000
desktop,ဒက်စ်တော့,9000
digital,ဒစ်ဂျစ်တယ်,9000
e-mail,အီးမေးလ်,9000
email,အီးမေးလ်,9000
engineer,အင်ဂျင်နီယာ,9000
file,ဖိုင်,9000
folder,ဖိုလ်ဒါ,9000
galaxy,ဂယ်လက်ဆီ,9000
gate,ဂိတ်,9000
gear,ဂီယာ,9000
generator,ဂျင်နရေတာ,9000
gland,ဂလင်း,9000
goal,ဂိုး,9000
golf,ဂေါက်,9000
gown,ဂါဝန်,9000
gram,ဂရမ်,9000
grant,ဂရန်,9000
graph,ဂရပ်,9000
graphic,ဂရပ်ဖစ်,9000
graphics,ဂရပ်ဖစ်,9000
guitar,ဂီတာ,9000
internet,အင်တာနက်,9000
january,ဇန်နဝါရီ,9000
jeep,ဂျစ်ကား,9000
jet,ဂျက်,9000
journal,ဂျာနယ်,9000
july,ဇူလိုင်,9000
june,ဇွန်,9000
key-chain,ကီးချိန်း,9000
keyboard,ကီးဘုတ်,9000
keychain,ကီးချိန်း,9000
kg,ကီလိုဂရမ်,9000
kilogram,ကီလိုဂရမ်,9000
laptop,လက်ပ်တော့,9000
login,လော့ဂ်အင်,9000
logout,လော့ဂ်အောက်,9000
magazine,မဂ္ဂဇင်း,9000
mic,မိုက်,9000
microphone,မိုက်ခရိုဖုန်း,9000
monitor,မော်နီတာ,9000
mouse,မောက်စ်,9000
network,နက်ဝေါ့ခ်,9000
offline,အော့ဖ်လိုင်း,9000
online,အွန်လိုင်း,9000
password,ပါ့စ်ဝေါ့ဒ်,9000
phone,ဖုန်း,9000
pixel,ပစ်ဇယ်,9000
printer,ပရင်တာ,9000
program,ပရိုဂရမ်,9000
programming,ပရိုဂရမ်းမင်း,9000
radio,ရေဒီယို,9000
robot,ရိုဘော့,9000
robotics,ရိုဘော့တစ်,9000
salad,ဆလတ်,9000
sandwich,ဆန်းဒဝစ်,9000
scale,စကေး,9000
scanner,စကင်နာ,9000
second,စက္ကန့်,9000
secretary,စက္ကရီတေရီ,9000
semiconductor,ဆီမီကွန်ဒက်တာ,9000
sensor,ဆင်ဆာ,9000
september,စက်တင်ဘာ,9000
sergeant,ဆာဂျင်,9000
series,စီးရီး,9000
server,ဆာဗာ,9000
signboard,ဆိုင်းဘုတ်,9000
site,ဆိုက်,9000
skirt,စကတ်,9000
smart,စမတ်,9000
sodium,ဆိုဒီယမ်,9000
sofa,ဆိုဖာ,9000
